region,country,country_code,age_group,age_lower,age_upper,,pop_male,pop_female,pop_both
Europe,Austria,AUT,'0-4,0,4,,224072,211061,435133
Europe,Austria,AUT,'5-14,5,14,,433500,410059,843559
Europe,Austria,AUT,'15-24,15,24,,500178,469589,969767
Europe,Austria,AUT,'25-34,25,34,,615441,591433,1206874
Europe,Austria,AUT,'35-44,35,44,,585813,580801,1166614
Europe,Austria,AUT,'45-54,45,54,,678689,679454,1358143
Europe,Austria,AUT,'55-64,55,64,,596511,613615,1210126
Europe,Austria,AUT,'65-74,65,74,,388398,445072,833470
Europe,Austria,AUT,'75-84,75,84,,261249,347902,609151
Europe,Austria,AUT,'85+,85,NA,,73182,152756,225938
Europe,Austria,AUT,'Total,NA,NA,,4357033,4501742,8858775
Europe,Austria,AUT,'0-4,0,4,,224096,211739,435835
Europe,Austria,AUT,'5-14,5,14,,435590,411635,847225
Europe,Austria,AUT,'15-24,15,24,,491758,463867,955625
Europe,Austria,AUT,'25-34,25,34,,617223,591807,1209030
Europe,Austria,AUT,'35-44,35,44,,590628,584117,1174745
Europe,Austria,AUT,'45-54,45,54,,665454,668403,1333857
Europe,Austria,AUT,'55-64,55,64,,618087,633033,1251120
Europe,Austria,AUT,'65-74,65,74,,393151,448884,842035
Europe,Austria,AUT,'75-84,75,84,,268460,356807,625267
Europe,Austria,AUT,'85+,85,NA,,74325,152000,226325
Europe,Austria,AUT,'Total,NA,NA,,4378772,4522292,8901064
Europe,Austria,AUT,'0-4,0,4,,222842,210913,433755
Europe,Austria,AUT,'5-14,5,14,,438193,413540,851733
Europe,Austria,AUT,'15-24,15,24,,484733,457249,941982
Europe,Austria,AUT,'25-34,25,34,,617820,591141,1208961
Europe,Austria,AUT,'35-44,35,44,,597136,587985,1185121
Europe,Austria,AUT,'45-54,45,54,,651968,656944,1308912
Europe,Austria,AUT,'55-64,55,64,,636614,649299,1285913
Europe,Austria,AUT,'65-74,65,74,,407643,464528,872171
Europe,Austria,AUT,'75-84,75,84,,265675,354581,620256
Europe,Austria,AUT,'85+,85,NA,,74328,149532,223860
Europe,Austria,AUT,'Total,NA,NA,,4396952,4535712,8932664
Europe,Austria,AUT,'0-4,0,4,,221746,210039,431785
Europe,Austria,AUT,'5-14,5,14,,442632,417172,859804
Europe,Austria,AUT,'15-24,15,24,,483264,453512,936776
Europe,Austria,AUT,'25-34,25,34,,622667,590533,1213200
Europe,Austria,AUT,'35-44,35,44,,605901,594230,1200131
Europe,Austria,AUT,'45-54,45,54,,636320,642915,1279235
Europe,Austria,AUT,'55-64,55,64,,650862,661446,1312308
Europe,Austria,AUT,'65-74,65,74,,418638,477380,896018
Europe,Austria,AUT,'75-84,75,84,,268290,358054,626344
Europe,Austria,AUT,'85+,85,NA,,75165,148163,223328
Europe,Austria,AUT,'Total,NA,NA,,4425485,4553444,8978929
Europe,Belgium,BEL,'0-24,0,24,,1653075,1584423,3237498
Europe,Belgium,BEL,'25-44,25,44,,1486998,1481633,2968631
Europe,Belgium,BEL,'45-64,45,64,,1546411,1535623,3082034
Europe,Belgium,BEL,'65-74,65,74,,560071,610328,1170399
Europe,Belgium,BEL,'75-84,75,84,,301971,396969,698940
